Rank,Department,Population (2020)[1],Population (2018)[1],Population (2005)
1,Bogotá,7743955,7412566,6778691
2,Antioquia,6677930,6407102,5601507
3,Valle del Cauca,4532152,4475886,4052535
4,Cundinamarca,3242999,2919060,2228682
5,Atlántico,2722128,2535517,2112001
6,Santander,2280908,2184837,1913444
7,Bolívar,2180976,2070110,1836640
8,Nariño,1627589,1630592,1498234
9,Córdoba,1828947,1784783,1462909
10,Tolima,1339998,1330187,1312304
11,Cauca,1491937,1464488,1182022
12,Norte de Santander,1620318,1491689,1208336
13,Boyacá,1242731,1217376,1255311
14,Magdalena,1427026,1341746,1136819
15,Huila,1122622,1100386,1001476
16,Cesar,1295387,1200574,878437
17,Caldas,1018453,998255,898490
18,Meta,1063454,1039722,713772
19,La Guajira,965718,880560,655943
20,Risaralda,961055,943401,859666
21,Sucre,949252,904863,762263
22,Quindío,555401,539904,518691
23,Chocó,544764,534826,388476
24,Caquetá,410521,401849,337932
25,Casanare,435195,420504,281294
26,Putumayo,359127,348182,237197
27,Arauca,294206,262174,153028
28,Guaviare,86657,82767,56758
29,San Andrés y Providencia,63692,61280,59573
30,Amazonas,79020,76589,46950
31,Vichada,112958,107808,44592
32,Vaupés,44712,40797,19943
33,Guainía,50636,48114,18797
