Item,Fecha,Día,TRM (Precio en Pesos Colombianos),Diferencia con el día anterior
1,30/07/2025,Miércoles,"$4,154.79",Bajó (-15.80)
2,29/07/2025,Martes,"$4,170.59",Subió (+60.11)
3,28/07/2025,Lunes,"$4,110.48",- (0.00)
4,27/07/2025,Domingo,"$4,110.48",- (0.00)
5,26/07/2025,Sábado,"$4,110.48",Subió (+47.17)
6,25/07/2025,Viernes,"$4,063.31",Subió (+10.45)
7,24/07/2025,Jueves,"$4,052.86",Bajó (-8.50)
8,23/07/2025,Miércoles,"$4,061.36",Subió (+35.09)
9,22/07/2025,Martes,"$4,026.27",Subió (+25.66)
10,21/07/2025,Lunes,"$4,000.61",- (0.00)
11,20/07/2025,Domingo,"$4,000.61",- (0.00)
12,19/07/2025,Sábado,"$4,000.61",Bajó (-15.83)
13,18/07/2025,Viernes,"$4,016.44",Bajó (-15.42)
14,17/07/2025,Jueves,"$4,031.86",Subió (+16.82)
15,16/07/2025,Miércoles,"$4,015.04",Subió (+3.25)
16,15/07/2025,Martes,"$4,011.79",Subió (+7.89)
17,14/07/2025,Lunes,"$4,003.90",- (0.00)
18,13/07/2025,Domingo,"$4,003.90",- (0.00)
19,12/07/2025,Sábado,"$4,003.90",Bajó (-9.60)
20,11/07/2025,Viernes,"$4,013.50",Bajó (-12.59)
21,10/07/2025,Jueves,"$4,026.09",Bajó (-28.04)
22,09/07/2025,Miércoles,"$4,054.13",Subió (+31.84)
23,08/07/2025,Martes,"$4,022.29",Subió (+47.92)
24,07/07/2025,Lunes,"$3,974.37",- (0.00)
25,06/07/2025,Domingo,"$3,974.37",- (0.00)
26,05/07/2025,Sábado,"$3,974.37",- (0.00)
27,04/07/2025,Viernes,"$3,974.37",Bajó (-32.09)
28,03/07/2025,Jueves,"$4,006.46",Bajó (-41.25)
29,02/07/2025,Miércoles,"$4,047.71",Bajó (-21.96)
30,01/07/2025,Martes,"$4,069.67",- (0.00)
31,30/06/2025,Lunes,"$4,069.67",- (0.00)
32,29/06/2025,Domingo,"$4,069.67",- (0.00)
33,28/06/2025,Sábado,"$4,069.67",Subió (+26.80)
34,27/06/2025,Viernes,"$4,042.87",Bajó (-24.77)
35,26/06/2025,Jueves,"$4,067.64",Bajó (-13.51)
36,25/06/2025,Miércoles,"$4,081.15",Subió (+1.09)
37,24/06/2025,Martes,"$4,080.06",- (0.00)
38,23/06/2025,Lunes,"$4,080.06",- (0.00)
39,22/06/2025,Domingo,"$4,080.06",- (0.00)
40,21/06/2025,Sábado,"$4,080.06",Subió (+3.74)
41,20/06/2025,Viernes,"$4,076.32",- (0.00)
42,19/06/2025,Jueves,"$4,076.32",Bajó (-22.51)
43,18/06/2025,Miércoles,"$4,098.83",Subió (+2.39)
44,17/06/2025,Martes,"$4,096.44",Bajó (-50.90)
45,16/06/2025,Lunes,"$4,147.34",- (0.00)
46,15/06/2025,Domingo,"$4,147.34",- (0.00)
47,14/06/2025,Sábado,"$4,147.34",Bajó (-21.79)
48,13/06/2025,Viernes,"$4,169.13",Bajó (-21.48)
49,12/06/2025,Jueves,"$4,190.61",Bajó (-0.29)
50,11/06/2025,Miércoles,"$4,190.90",Subió (+52.37)
51,10/06/2025,Martes,"$4,138.53",Bajó (-0.19)
52,09/06/2025,Lunes,"$4,138.72",- (0.00)
53,08/06/2025,Domingo,"$4,138.72",- (0.00)
54,07/06/2025,Sábado,"$4,138.72",Subió (+41.06)
55,06/06/2025,Viernes,"$4,097.66",Bajó (-10.19)
56,05/06/2025,Jueves,"$4,107.85",Bajó (-28.86)
57,04/06/2025,Miércoles,"$4,136.71",Bajó (-12.01)
58,03/06/2025,Martes,"$4,148.72",- (0.00)
59,02/06/2025,Lunes,"$4,148.72",- (0.00)
60,01/06/2025,Domingo,"$4,148.72",- (0.00)
61,31/05/2025,Sábado,"$4,148.72",Subió (+41.93)
