Departamento,Municipios,Capital,Superficie (km²),Población (hab)[3]​,Densidad (hab/km²),IDH[4]​,Fecha de creación[nota 1]​,Fecha de erección
Amazonas,2,Leticia,109 665,82 068,075,768,1928,1991[nota 2]​
Antioquia,125,Medellín,63 612,6 887 306,10827,849,1856[nota 3]​,1886[nota 4]​
Arauca,7,Arauca,23 818,304 978,1280,804,1911,1991[nota 2]​
Atlántico,23,Barranquilla,3 388,2 804 025,82763,835,1905,1905
"Bogotá, Distrito Capital",1,Bogotá,1 139,8 906 342,"7 819,44",904,1538,1954
Bolívar,46,Cartagena,25 978,2 236 603,8610,823,1857[nota 3]​,1886[nota 4]​
Boyacá,123,Tunja,23 189,1 259 601,5432,842,1857[nota 3]​,1886[nota 4]​
Caldas,27,Manizales,7 888,1 036 455,13140,828,1905,1905
Caquetá,16,Florencia,88 965,419 275,471,752,1909,1991[nota 2]​
Casanare,19,Yopal,44 640,442 068,990,867,1973,1991[nota 2]​
Cauca,41,Popayán,29 308,1 516 018,5173,782,1857[nota 3]​,1886[nota 4]​
Cesar,25,Valledupar,22 905,1 341 697,5858,810,1967,1967
Chocó,31,Quibdó,46 530,553 519,1190,731,1906,1947
Córdoba,30,Montería,25 020,1 856 496,7420,798,1952,1952
Cundinamarca,116,Bogotá,23 071,2 473 634,10722,837,1857[nota 3]​,1886[nota 4]​
Guainía,2,Inírida,72 238,52 061,072,768,1963,1991[nota 2]​
Guaviare,4,San José del Guaviare,53 460,90 357,169,768,1977,1991[nota 2]​
Huila,37,Neiva,19 890,1 140 932,5736,807,1905,1905
La Guajira,15,Riohacha,20 848,1 002 394,4808,691,1898,1964
Magdalena,30,Santa Marta,23 188,1 463 427,6311,785,1857[nota 3]​,1886[nota 4]​
Meta,29,Villavicencio,85 635,1 080 706,1262,822,1905,1967
Nariño,64,Pasto,33 268,1 629 181,4897,773,1904,1904
Norte de Santander,40,Cúcuta,21 658,1 651 278,7624,799,1910,1910
Putumayo,13,Mocoa,24 885,369 064,1483,759,1905,1991[nota 2]​
Quindío,12,Armenia,1 845,569 569,30871,832,1966,1966
Risaralda,14,Pereira,4 140,977 829,23619,839,1966,1966
San Andrés y Providencia,1,San Andrés,44,65 228,"1 482,45",834,1912,1991[nota 2]​
Santander,87,Bucaramanga,30 537,2 324 090,7611,879,1857[nota 3]​,1886[nota 4]​
Sucre,26,Sincelejo,10 917,972 350,8907,775,1966,1966
Tolima,47,Ibagué,23 562,1 346 935,5717,804,1861[nota 3]​,1886[nota 4]​
Valle del Cauca,42,Cali,22 140,4 589 278,20728,861,1910,1910
Vaupés,3,Mitú,54 135,48 932,090,768,1910,1991[nota 2]​
Vichada,4,Puerto Carreño,100 242,115 778,115,768,1913,1991[nota 2]​
Colombia,1 103[nota 5]​,Bogotá,1 141 748,51 609 474,4520,840,1810,---
